District Name,Neighborhood Name,2015 Total Number of Stores,2015 Franchise Stores,2015 General Stores,16 Total Number of Stores,16 Franchise Stores,16 General Stores,17 Total Number of Stores,17 Franchise Stores,17 General Stores,Q2-18 Total Number of Storesa,Q2-18 Franchise Storesb,Q2-18 General Storesc,Q2-19 Total Number of Storesd,Q2-19 Franchise Storese,Q2-19 General Storesf,% Change in Total Number of Storesg,% Change in Total Number Franchise Storesh,% Change in Residential Pop (2015-2019) i,% Change in Work Population (2015-2019) j ,Q2-15 Residential Population (persons per square mile) k ,Q2-15 Work Population (persons per square mile) l,Q2-16 Residential Population (persons per square mile) m,Q2-16 Work Population (persons per square mile) n,Q2-17 Residential Population (persons per square mile) o,Q2-17 Work Population (persons per square mile) p,Q2-18 Residential Population (persons per square mile) q,Q2-18 Work Population (persons per square mile) r,Q2-19 Residential Population (persons per square mile) s,Q2-19 Work Population (persons per square mile) t,Q2-15 Number of Households,Q2-16 Number of Households x,Q2-17 Number of Households y,Q2-18 Number of Households z,Q2-19 Number of Households z,Q2-15 Monthly rent per 3.3 meters squared (KRW) a,Q2-16 Monthly rent per 3.3 meters squared (KRW) b,Q2-17 Monthly rent per 3.3 meters squared (KRW) c,Q2-18 Monthly rent per 3.3 meters squared (KRW) d,Q2-19 Monthly rent per 3.3 meters squared (KRW) e,% Change in Monthly Rent (2015-2019) f,Q2-15 Business Openings g,Q2-15 Business Closing h,Q2-15 Opening Rate (Percent) i,Q2-15 Closing Rate (Percent) j,Q2-16 Business Openings k,Q2-16 Business Closing l,Q2-16 Opening Rate (Percent) m,Q2-16 Closing Rate (Percent) n ,Q2-17 Business Openings o,Q2-17 Business Closing p ,Q2-17 Opening Rate (Percent) q,Q2-17 Closing Rate (Percent) r,Q2-18 Business Openings s,Q2-18 Business Closing t,Q2-18 Opening Rate (Percent) u,Q2-18 Closing Rate (Percent) v,Q2-19 Business Openings x,Q2-19 Business Closing x,Q2-19 Opening Rate (Percent) w,Q2-19 Closing Rate (Percent) z,Q2-15 Number of Households x,Q2-19 Number of Households b
Seongdong-gu,Wangsimni2-dong,577,29,548,604,29,575,597,31,566,581,36,545,558,36,522,-0.032928943,0.24137931,0.331428571,0.307692308,90649.65,6733.974,91167.648,7251.972,112405.566,8028.969,121988.529,8287.968,120693.534,8805.966,"5,579","5,885","7,052","7,813","7,779","90,657","63,512","87,716","98,787","80,840",-0.11,35,24,6.1,4.2,32,20,5.3,3.3,22,20,3.7,3.4,22,23,3.8,4,24,17,4.3,3,"5,579","7,779"
Seongdong-gu,Wangsimnidoseondong,"1,240",83,"1,157","1,285",90,"1,195","1,476",123,"1,353","1,522",140,"1,382","1,507",137,"1,370",0.215322581,0.65060241,1.174418605,0.288888889,44547.828,23309.91,42216.837,29007.888,94534.635,28230.891,97383.624,30043.884,96865.626,30043.884,"5,426","5,322","10,729","11,298","11,321","88,175","85,395","107,171","125,858","125,226",0.42,59,37,4.8,3,53,47,4.1,3.7,106,59,7.2,4,55,51,3.6,3.4,58,53,3.8,3.5,"5,426","11,321"
Seongdong-gu,Majang-dong,"2,297",48,"2,249","2,327",50,"2,277","2,341",47,"2,294","2,271",44,"2,227","2,194",45,"2,149",-0.044841097,-0.0625,-0.031390135,0.175824176,57756.777,23568.909,55943.784,24604.905,56720.781,26417.898,54907.788,27453.894,55943.784,27712.893,"10,142","10,101","10,281","10,324","10,623","91,883","90,483","101,383","108,446","122,319",0.33,61,55,2.7,2.4,76,39,3.3,1.7,64,58,2.7,2.5,25,45,1.1,2,21,39,1,1.8,"10,142","10,623"
Seongdong-gu,Sageun-dong,800,129,671,828,145,683,832,157,675,818,153,665,804,155,649,0.005,0.201550388,0.125,0.545454545,22791.912,11395.956,24863.904,16057.938,24604.905,16575.936,24863.904,17093.934,25640.901,17611.932,"5,925","6,486","6,531","6,864","7,174","129,691","125,930","148,045","162,602","144,640",0.12,31,35,3.9,4.4,42,36,5.1,4.3,34,28,4.1,3.4,28,41,3.4,5,26,31,3.2,3.9,"5,925","7,174"
Seongdong-gu,Haengdang 1(il)-dong,"1,080",119,961,"1,098",133,965,"1,114",131,983,"1,114",122,992,"1,092",127,965,0.011111111,0.067226891,0.109929078,-0.513157895,73037.718,59051.772,62936.757,25899.9,64749.75,26935.896,63454.755,27453.894,81066.687,28748.889,"6,778","5,896","6,123","6,135","7,735","104,775","131,192","111,537","194,661","164,714",0.57,30,42,2.8,3.9,52,46,4.7,4.2,44,49,3.9,4.4,36,34,3.2,3.1,24,30,2.2,2.7,"6,778","7,735"
Seongdong-gu,Haengdang 2(i)-dong,442,54,388,430,48,382,438,48,390,457,52,405,464,49,415,0.049773756,-0.092592593,0.204845815,0.571428571,117585.546,3625.986,111369.57,4920.981,144003.444,5179.98,142449.45,5438.979,141672.453,5697.978,"7,909","7,055","9,385","9,465","9,494",,,"139,594","105,915","125,602",,21,15,4.8,3.4,13,20,3,4.7,20,12,4.6,2.7,21,12,4.6,2.6,15,10,3.2,2.2,"7,909","9,494"
Seongdong-gu,Eungbong-dong,218,16,202,214,16,198,213,20,193,214,17,197,217,16,201,-0.004587156,0,-0.006666667,0.142857143,77699.7,1812.993,74591.712,2071.992,78735.696,2071.992,77958.699,2071.992,77181.702,2071.992,"6,088","5,839","6,200","6,255","6,217",,"102,100",,"74,012","106,487",,7,8,3.2,3.7,5,1,2.3,0.5,6,4,2.8,1.9,6,8,2.8,3.7,7,9,3.2,4.1,"6,088","6,217"
Seongdong-gu,Geumho1Gadong,397,34,363,393,36,357,383,35,348,388,34,354,399,36,363,0.005037783,0.058823529,0.946524064,0.294117647,48432.813,4402.983,27712.893,5179.98,77958.699,5956.977,92721.642,5697.978,94275.636,5697.978,"3,227","1,993","5,320","6,435","6,601","80,530","75,706","133,676","114,104",,,13,12,3.3,3,18,15,4.6,3.8,9,11,2.3,2.9,9,6,2.3,1.5,11,8,2.8,2,"3,227","6,601"
Seongdong-gu,Geumho2·3Gadong,766,52,714,758,61,697,788,67,721,807,64,743,807,65,742,0.053524804,0.25,0.301369863,0.428571429,75627.708,3625.986,77699.7,4143.984,99196.617,4661.982,98419.62,4920.981,98419.62,5179.98,"7,543","8,050","10,111","10,244","10,327","58,401","104,048","111,146","110,953","118,948",1.04,29,32,3.8,4.2,39,17,5.1,2.2,31,27,3.9,3.4,35,24,4.3,3,25,23,3.1,2.9,"7,543","10,327"
Seongdong-gu,Geumho4Gadong,484,32,452,481,35,446,465,35,430,470,38,432,487,36,451,0.006198347,0.125,0.110344828,0.375,37554.855,2071.992,32374.875,2330.991,39108.849,2330.991,41180.841,2589.99,41698.839,2848.989,"5,606","4,958","5,979","6,307","6,410",,,,"111,689","84,116",,26,27,5.4,5.6,19,17,4,3.5,22,17,4.7,3.7,23,17,4.9,3.6,15,20,3.1,4.1,"5,606","6,410"
